"","age1","age2","age3","age4","age5","age6","age7","age8","age9","age10","age11"
"M.age",0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
"mat.age",0.012,0.038,0.106,0.258,0.51,0.754,0.904,0.966,0.988,0.998,1
"SSB.waa",0.01,0.02504,0.07392,0.14848,0.22864,0.30688,0.39168,0.49434,0.59504,0.69224,0.97262
"catch.waa",0.01704,0.05938,0.1236,0.18892,0.27124,0.35318,0.45198,0.55144,0.65562,0.73228,0.97262
"jan1.waa",0.01,0.02504,0.07392,0.14848,0.22864,0.30688,0.39168,0.49434,0.59504,0.69224,0.97262
"sel.age",0.00382697422757612,0.0469671738221724,0.0899509574524369,0.202579834965374,0.365984484181362,0.639882038115043,1,1,1,1,1
"spawn.time",0.1667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F30%",0.222566996905392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F35%",0.182624726571604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F40%",0.151441403869632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F45%",0.126269405563513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F50%",0.105429693841508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
