"%SPR","F(%SPR)","YPR","SSB.PR","Freport_8-9"
0.2,0.528456955175511,0.165846112369177,0.473944835300043,0.528456955175511
0.25,0.389365856355002,0.165458891051133,0.592431043259576,0.389365856355002
0.3,0.301131698585608,0.162105785833873,0.710917253796078,0.301131698585608
0.35,0.239686870414521,0.156509645218899,0.829403462529825,0.239686870414521
0.4,0.194132717227726,0.149178178435011,0.947889678859684,0.194132717227726
0.45,0.158828713570373,0.140474798355972,1.06637588071377,0.158828713570373
0.5,0.130555126411926,0.130665765140887,1.18486208863293,0.130555126411926
0.55,0.107333415222889,0.119950715852491,1.30334829792343,0.107333415222889
0.6,0.0878763367662196,0.108482521774276,1.4218345093823,0.0878763367662196
0.65,0.07130759871219,0.0963804541895216,1.54032071612267,0.07130759871219
0.7,0.0570083393993283,0.0837391107974913,1.65880692409083,0.0570083393993283
0.75,0.0445280380041486,0.0706346140335212,1.77729313388526,0.0445280380041486
0.8,0.0335302647894293,0.0571290059307384,1.89577934232275,0.0335302647894293
