"","age1","age2","age3","age4","age5","age6","age7","age8","age9","age10","age11"
"M.age",0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
"mat.age",0.012,0.038,0.106,0.258,0.51,0.754,0.904,0.966,0.988,0.998,1
"SSB.waa",0.01,0.02504,0.07392,0.14848,0.22864,0.30688,0.39168,0.49434,0.59504,0.69224,0.97262
"catch.waa",0.01704,0.05938,0.1236,0.18892,0.27124,0.35318,0.45198,0.55144,0.65562,0.73228,0.97262
"jan1.waa",0.01,0.02504,0.07392,0.14848,0.22864,0.30688,0.39168,0.49434,0.59504,0.69224,0.97262
"sel.age",0.00038309562713626,0.00537040141698734,0.0141972337742227,0.0448756478248635,0.117716107892233,0.282448369789608,0.633767150311838,1,1,1,1
"spawn.time",0.1667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F30%",0.315961195973099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F35%",0.249695573363463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F40%",0.201215368385996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F45%",0.163998295081749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F50%",0.134404305735996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
