"%SPR","F(%SPR)","YPR","SSB.PR","Freport_8-9"
0.2,0.519969585288441,0.165485598525623,0.473944835195825,0.519969585288441
0.25,0.384273828110846,0.165068861064154,0.592431044361732,0.384273828110846
0.3,0.297778826348118,0.161707053341148,0.710917251954929,0.297778826348118
0.35,0.237345588235146,0.156117734474693,0.829403461102509,0.237345588235146
0.4,0.19243417974498,0.148803681966572,0.947889663888218,0.19243417974498
0.45,0.157565185424439,0.140124657855314,1.06637587637439,0.157565185424439
0.5,0.129600105606548,0.130344386452069,1.18486208782741,0.129600105606548
0.55,0.106605127022457,0.119660766534036,1.30334829818368,0.106605127022457
0.6,0.0873193983935618,0.108225481280637,1.42183450541489,0.0873193983935618
0.65,0.0708830767376514,0.0961569868602686,1.54032071297436,0.0708830767376514
0.7,0.0566880224175797,0.0835493228880259,1.65880692572615,0.0566880224175797
0.75,0.0442909647474159,0.0704782313009417,1.77729313404551,0.0442909647474159
0.8,0.0333605273527204,0.0570054947406897,1.89577934087097,0.0333605273527204
