"%SPR","F(%SPR)","YPR","SSB.PR","Freport_8-9"
0.2,0.377224175078793,0.158583320208351,0.473944836537223,0.377224175078793
0.25,0.292352557826121,0.157360755158105,0.592431041433145,0.292352557826121
0.3,0.234119545159125,0.153658259701158,0.71091725584246,0.234119545159125
0.35,0.191187670953685,0.148070823140911,0.829403469235218,0.191187670953685
0.4,0.157952340278308,0.141000615239161,0.947889668706177,0.157952340278308
0.45,0.131301814033905,0.132733505501437,1.06637588875718,0.131301814033905
0.5,0.109357290512753,0.123480510134969,1.1848620886091,0.109357290512753
0.55,0.0909103652758331,0.113402063849172,1.30334829532931,0.0909103652758331
0.6,0.0751446130026536,0.102623103919181,1.42183450622063,0.0751446130026536
0.65,0.0614862807799014,0.0912428669166278,1.5403207177795,0.0614862807799014
0.7,0.0495189673342078,0.0793414975074977,1.65880692999749,0.0495189673342078
0.75,0.0389322674857511,0.0669846481685068,1.777293132803,0.0389322674857511
0.8,0.0294894932119773,0.0542267597606152,1.89577934370395,0.0294894932119773
