"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6","Age.7","Age.8","Age.9","Age.10","Age.11"
"peel.1",-0.178368601764302,0.154458611504782,0.515676078886316,0.137735910392237,0.186146210386103,0.25590159018345,0.515676078886316,-0.201465098278234,0.0836087650838906,0.0816165428565893,0.112465995408822,0.153552313095208,0.0526607557093973,0.124512994157224,0.213386670261137,0.295925406676117,0.390121569337437
"peel.2",-0.334017421935767,0.325547556512328,-0.349613080633765,0.253650531634404,0.392771401459267,0.0197267638314129,-0.349613080633765,0.046654282758789,0.186172399304646,0.254061835073262,0.339876050147317,0.122456694659705,0.146979866154098,0.313079156723989,0.526303294380117,0.667968862570878,0.912391265104005
"peel.3",-0.543630281396345,0.646229729067352,0.0888228550916786,0.592943143709459,0.68034597899483,0.479106099938489,0.0888228550916786,0.641394848643963,0.703092933597261,0.796880854118582,0.31489572766799,0.263398262210887,0.466400481350314,0.634133582375862,0.864790444640306,1.13612168363256,1.46613360129133
"peel.4",-0.578551248248667,0.802977023294176,0.247318761679431,0.734690576680559,0.811262816810866,0.879013088442478,0.247318761679431,1.25917235477948,1.44272423616471,0.496910091579651,0.324302306492019,0.615314000182475,0.723600207270686,0.727846211392269,1.04519772125791,1.29938314252501,1.47391792700696
"peel.5",-0.549826296560861,0.845043099679731,0.840770431085913,0.763123479954555,0.809503154648821,0.888883216562701,0.840770431085913,1.46505828728159,0.588101479036018,0.363381495130816,0.59947952897812,0.931568001120588,0.571941208920034,0.645855849605904,0.894675631295218,1.06515447763736,1.18700104644629
"peel.6",-0.501415095616359,0.838152223214708,0.968090349654289,0.851174334072212,0.728896327749433,0.848374808312339,0.968090349654289,0.613214626294646,0.602075621445739,0.786178874220332,1.23846151807586,0.71552506721733,0.405442712821397,0.439907369939578,0.636019181571928,0.752678449244538,1.09541063893942
"peel.7",-0.528027855929854,0.856542119035294,0.407297148620451,0.960307125718779,0.912638988610385,0.94664738165864,0.407297148620451,0.832525241207819,1.02627660242325,1.68235498835702,0.859308772733495,0.336301576681922,0.299042146417834,0.438191641826264,0.790783281495107,1.34372009281747,2.37751505933679
"Mohn.rho",-0.459119543064593,0.638421480329767,0.388337506340616,0.613375014594601,0.645937839808529,0.616807564132787,0.388337506340616,0.665222077526865,0.66172171957936,0.637340668762321,0.541255699929089,0.448302273595445,0.38086676837768,0.474789543717299,0.710165174985961,0.937278873586275,1.27178444392317
