"%SPR","F(%SPR)","YPR","SSB.PR","Freport_8-9"
0.2,0.571051926149458,0.168915377801247,0.473944834876055,0.571051926149458
0.25,0.413026630866663,0.168298441470197,0.592431042708216,0.413026630866663
0.3,0.315961195973099,0.164730781407659,0.71091725310884,0.315961195973099
0.35,0.249695573363463,0.158916612731487,0.829403467088332,0.249695573363463
0.4,0.201215368385996,0.151364321112449,0.947889670927833,0.201215368385996
0.45,0.163998295081749,0.142440949799231,1.066375879896,0.163998295081749
0.5,0.134404305735996,0.132415855588586,1.18486208867909,0.134404305735996
0.55,0.110233255906195,0.121490766153052,1.30334830324604,0.110233255906195
0.6,0.0900716655738989,0.109819810605565,1.42183451053994,0.0900716655738989
0.65,0.072966800916212,0.0975229210301031,1.54032071512341,0.072966800916212
0.7,0.0582511858494908,0.0846949572290441,1.65880692435771,0.0582511858494908
0.75,0.0454421123405747,0.0714120446717282,1.77729313144415,0.0454421123405747
0.8,0.0341811109784763,0.0577360618275359,1.89577934281186,0.0341811109784763
