"%SPR","F(%SPR)","YPR","SSB.PR","Freport_8-9"
0.2,3,0.0467147259820517,0.053704905022749,3
0.25,2.15773712458555,0.0451681490984798,0.0649086928786718,2.15773712458555
0.3,1.5208894126532,0.0431446667412012,0.0778904314322346,1.5208894126532
0.35,1.10403723638703,0.0409175101195191,0.0908721700383962,1.10403723638703
0.4,0.822791845205353,0.0385216621605976,0.103853908587006,0.822791845205353
0.45,0.626976514279839,0.0359772758827302,0.116835647165672,0.626976514279839
0.5,0.485850858506278,0.0332917752909993,0.129817385737444,0.485850858506278
0.55,0.38053724979079,0.0304682786444699,0.142799124606055,0.38053724979079
0.6,0.299375911567829,0.0275110654971623,0.155780863154573,0.299375911567829
0.65,0.235036175617377,0.0244267723162796,0.168762601560138,0.235036175617377
0.7,0.182786544215875,0.021223713605488,0.181744340237568,0.182786544215875
0.75,0.139481160789572,0.0179109277268278,0.194726078609532,0.139481160789572
0.8,0.102965404891013,0.0144974652657044,0.207707817254622,0.102965404891013
