"%SPR","F(%SPR)","YPR","SSB.PR","Freport_8-9"
0.2,0.550208234968638,0.167852468804285,0.473944835491276,0.550208234968638
0.25,0.401225859999734,0.167253296341741,0.592431046927219,0.401225859999734
0.3,0.308460096805866,0.163719939204719,0.710917255688489,0.308460096805866
0.35,0.244578738379196,0.157958291450033,0.829403462095742,0.244578738379196
0.4,0.197564455621294,0.150471664980651,0.947889668442615,0.197564455621294
0.45,0.161316043870504,0.14162217758809,1.06637588014717,0.161316043870504
0.5,0.13239656757599,0.131675514844062,1.18486208978987,0.13239656757599
0.55,0.10871410370754,0.120830862323417,1.30334829758768,0.10871410370754
0.6,0.0889174032247328,0.109240636335275,1.42183450646145,0.0889174032247328
0.65,0.0720917359202318,0.097023637203085,1.54032071528293,0.0720917359202318
0.7,0.057593978502745,0.0842739901801557,1.65880692239526,0.057593978502745
0.75,0.0449576541716113,0.0710673548023879,1.7772931328324,0.0449576541716113
0.8,0.0338354766496763,0.057465331146601,1.89577934225309,0.0338354766496763
